T,X,Y,Z
1629628258,544,12236,9074
1629628258,458,12138,9124
1629628258,422,12126,9056
1629628258,442,12298,9140
1629628258,460,12200,9126
1629628258,524,12244,9156
1629628258,530,12144,9098
1629628258,492,12182,9164
1629628258,502,12216,9212
1629628258,478,12204,9222
1629628258,476,12186,9156
1629628258,478,12182,9146
1629628258,450,12184,9150
1629628258,504,12196,9180
1629628259,446,12288,9074
1629628259,456,12368,9028
1629628259,508,12304,9110
1629628259,524,12290,9116
1629628259,482,12236,9150
1629628259,482,12232,9124
1629628259,484,12170,9134
1629628259,458,12190,9120
1629628259,452,12186,9124
1629628259,458,12168,9178
1629628259,482,12158,9154
1629628259,476,12200,9154
1629628259,500,12156,9142
1629628259,502,12186,9138
1629628259,508,12216,9166
1629628259,492,12140,9148
1629628259,470,12192,9174
1629628259,458,12170,9138
1629628259,472,12186,9148
1629628259,496,12210,9120
1629628259,514,12190,9100
1629628259,472,12180,9114
1629628259,510,12170,9134
1629628259,432,12182,9144
1629628259,500,12178,9116
1629628259,480,12198,9080
1629628259,494,12214,9082
1629628259,480,12202,9130
1629628259,464,12188,9178
1629628259,490,12192,9136
1629628259,482,12180,9176
1629628259,518,12174,9154
1629628259,498,12184,9148
1629628259,504,12156,9114
1629628259,498,12196,9168
1629628259,482,12156,9106
1629628259,498,12170,9182
1629628259,532,12146,9166
1629628259,462,12144,9166
1629628259,470,12172,9238
1629628259,464,12174,9118
1629628259,514,12204,9102
1629628259,474,12186,9182
1629628259,476,12172,9114
1629628259,470,12194,9114
1629628259,488,12206,9172
1629628259,490,12168,9150
1629628259,474,12192,9206
1629628259,514,12178,9202
1629628259,490,12172,9136
1629628260,486,12162,9088
1629628260,504,12166,9142
1629628260,474,12168,9124
1629628260,490,12164,9124
1629628260,480,12160,9162
1629628260,488,12184,9128
1629628260,494,12158,9208
1629628260,450,12176,9208
1629628260,474,12164,9132
1629628260,498,12184,9150
1629628260,448,12168,9124
1629628260,484,12184,9136
1629628260,496,12164,9136
1629628260,472,12172,9108
1629628260,494,12190,9184
1629628260,494,12188,9164
1629628260,488,12170,9134
1629628260,490,12210,9148
1629628260,456,12192,9124
1629628260,492,12200,9134
1629628260,508,12180,9112
1629628260,506,12200,9134
1629628260,496,12172,9118
1629628260,498,12200,9122
1629628260,488,12200,9136
1629628260,450,12196,9142
1629628260,484,12152,9138
1629628260,470,12196,9192
1629628260,484,12158,9160
1629628260,484,12166,9126
1629628260,480,12192,9142
1629628260,474,12182,9142
1629628260,456,12194,9124
1629628260,472,12188,9124
1629628260,472,12202,9132
1629628260,508,12230,9148
1629628260,454,12172,9124
1629628260,442,12198,9198
1629628260,480,12166,9130
1629628260,478,12186,9146
1629628260,436,12240,9128
1629628260,470,12178,9108
1629628260,430,12174,9108
1629628260,486,12196,9144
1629628260,476,12196,9132
1629628260,502,12210,9120
1629628260,508,12204,9138
1629628260,484,12234,9170
1629628260,504,12192,9128
1629628261,490,12174,9150
1629628261,480,12176,9162
1629628261,494,12160,9162
1629628261,470,12182,9148
1629628261,470,12194,9174
1629628261,460,12186,9148
1629628261,474,12154,9136
1629628261,502,12154,9154
1629628261,464,12186,9146
1629628261,478,12194,9136
1629628261,470,12180,9150
1629628261,452,12182,9130
1629628261,498,12168,9164
1629628261,466,12182,9134
1629628261,470,12194,9082
1629628261,500,12202,9194
1629628261,482,12182,9126
1629628261,476,12182,9142
1629628261,430,12192,9106
1629628261,468,12188,9156
1629628261,452,12210,9154
1629628261,474,12200,9148
1629628261,478,12206,9124
1629628261,504,12218,9156
1629628261,490,12210,9156
1629628261,480,12164,9146
1629628261,492,12206,9198
