X,Y,Z
4584,-462,14122
4858,-1550,13836
5994,-1134,13876
5774,-1612,13606
5792,-1524,14008
4006,-912,20494
3820,62,9548
4096,-402,12426
5924,-312,12364
6752,-1632,14428
5626,-3546,13470
2876,-258,9484
3650,352,13274
5958,-1310,11962
6038,1516,10564
5914,4338,30862
3290,-16,6954
4412,-248,8798
4140,-912,10998
6922,-3542,22160
1726,3438,15102
4464,844,11874
4586,2806,11934
5896,2124,20832
994,-254,26954
3096,-766,10912
3228,450,6852
6476,-5220,16724
2270,-1694,14764
3748,-420,13038
4574,3840,9682
5264,2746,20906
-850,614,20424
3954,-1244,11478
3446,-970,8876
5984,-5082,15116
-1704,2776,26888
5240,-516,15816
2972,5450,11318
4526,2228,18306
-982,400,17706
2534,32,13810
1702,188,10662
4672,-3584,14326
1932,-978,20424
3892,-640,15668
2660,576,12568
3602,1106,14976
1056,2862,24538
2574,-1394,16390
1504,2,12740
4176,-16,12028
6278,-80,19948
2436,2270,6850
2584,230,11886
758,-268,13598
-1602,1026,14790
-2100,606,18604
248,4184,16226
836,1384,16734
2360,212,10076
2742,-3100,12036
-1932,-1966,23874
1186,-3564,15620
1122,806,13012
3668,4024,16904
2512,6208,20766
-3610,-240,28348
906,-2124,8456
1854,2274,4266
3256,500,11408
6104,-8232,17892
3392,-1024,11456
1958,2126,17534
2920,4206,14632
1548,1240,19736
-906,-4212,12176
824,-1104,11856
1516,-1106,8408
4970,-6472,17184
-20,-710,17344
2676,438,13778
4158,3156,9964
3962,4030,18592
-774,1586,19282
3444,-1400,14076
2608,222,7256
4394,-5316,16410
748,-2426,29602
4054,598,14510
4332,3570,11858
1854,4262,16726
-1624,-734,16190
1932,-934,11656
1824,-1350,6540
2534,-4434,14322
686,534,17304
2606,1668,14232
4340,3584,13512
344,2668,21436
172,-3636,4994
1916,52,10122
2452,-2446,7498
5912,-5840,13390
1368,2386,10810
2916,2806,14002
4094,1982,13710
5008,-4108,24070
2486,-3446,6412
2704,-1796,11278
4528,-2324,10136
4244,-4414,21292
-1580,-2106,14874
-2244,-4648,18908
-1406,-2360,12210
472,-246,16376
1462,914,12032
4604,1074,16900
4926,3322,11580
3818,3516,9668
3270,546,12056
3820,-1792,15516
2768,944,9942
1094,4664,15016
2948,2156,13734
4096,1978,15336
-1374,1052,15182
2154,-600,13092
2574,414,9288
4006,-3268,12324
1060,-618,19194
3506,1544,18352
3784,4008,12562
3048,348,18766
540,858,8614
2514,-330,12270
2794,-8,8644
4614,-966,14250
632,1154,17474
3908,-336,14012
4586,1096,13172
4130,1124,14156
-368,3126,17996
2772,-274,15690
2848,2128,8908
5148,-1096,15354
2516,-558,21402
3702,72,15762
4548,1686,12844
4980,1998,14234
1710,2104,24428
3806,-698,16564
2676,50,11350
3196,-1620,11586
4262,-2516,27898
4964,1390,18352
3358,1986,14966
3222,1014,12586
4488,-486,26512
3818,1394,13390
3410,-1642,10410
6124,-2848,15090
5216,-3014,19158
4140,-1056,12574
4536,-1200,11354
5720,-1990,14130
5994,-2116,18200
4468,-1072,11172
5148,-1272,11796
5552,-1458,14208
5504,-2802,14448
3552,-1250,10242
3484,-624,15098
4828,-1328,13662
4528,-2082,15086
3746,30,12878
