T,X,Y,Z
1629807785709983997,2638,-1114,13578
1629807785803594218,2624,-1352,14436
1629807785822993805,2736,-1472,14802
1629807785842344184,2918,-1808,15344
1629807785861646521,3250,-2036,15236
1629807785882079986,3710,-2140,14394
1629807785901739658,4068,-2184,14008
1629807785922805916,4114,-2062,14562
1629807785942639379,4066,-1780,14882
1629807785961717549,4196,-1528,14356
1629807785981237054,4382,-1548,13822
1629807786001466268,4556,-1674,13288
1629807786021424021,4624,-1570,12670
1629807786040512980,4616,-1440,12828
1629807786060116815,4528,-1446,13802
1629807786079498650,4256,-1416,14208
1629807786100673114,4254,-1400,13610
1629807786119710864,4326,-1428,12762
1629807786138932448,4450,-1440,12628
1629807786158390950,4502,-1278,12804
1629807786178643494,4612,-1098,13168
1629807786199466665,4514,-976,13482
1629807786221464131,4862,-1278,12356
1629807786240875715,5124,-1360,11586
1629807786260178800,5578,-1812,11912
1629807786279670843,5690,-2226,13020
1629807786300053013,5680,-2264,14504
1629807786319326014,5604,-2362,15066
1629807786338453390,5380,-2230,13076
1629807786357672557,5774,-1844,11746
1629807786377096184,6196,-1206,13190
1629807786396670144,6266,-1360,15908
1629807786416039020,6444,-1468,15908
1629807786435036020,5752,-924,13748
1629807786454375188,6278,-286,13306
1629807786474050315,6834,-1432,13446
1629807786493471316,6570,-1410,13964
1629807786513856278,5972,-418,13830
1629807786533332404,6164,-370,13764
1629807786552789781,6536,-550,13324
1629807786572517699,6958,-1774,12504
1629807786591780450,6894,-1448,13236
1629807786610871743,6412,-1338,13058
1629807786630254702,5808,-698,12182
1629807786649430453,5278,-464,11802
1629807786668928371,4804,-58,11126
1629807786689017499,4798,-322,10018
1629807786709278377,5318,-980,9758
1629807786728495794,5046,-256,10566
1629807786748407714,3844,-250,11280
1629807786768518216,4034,-396,12058
1629807786787819551,4418,-130,12908
1629807786809641682,4188,1068,19104
1629807786829330059,5054,2288,17012
1629807786849316853,5114,1864,23462
1629807786869378940,46,3592,18984
1629807786888701607,-2502,4796,19872
1629807786907936567,-1814,6170,21570
1629807786927976069,-1044,5438,22392
1629807786948413656,-208,4094,20670
1629807786967595949,-248,2764,11270
1629807786986579741,-652,3236,11270
1629807787005690741,3078,2212,6450
1629807787025735366,4284,1794,11114
1629807787046291034,5124,3772,14374
1629807787065420365,6194,4062,18020
1629807787084866947,5990,3626,18020
1629807787104005070,3904,2764,17048
1629807787123660111,2110,3376,12860
1629807787143127402,1962,4492,9408
1629807787162276775,2864,3156,11404
1629807787181903940,3176,3386,15418
1629807787202415733,2886,2758,16368
1629807787221607773,2520,-1098,12206
1629807787242234690,2944,-4080,7878
1629807787261932190,3302,-3516,7358
1629807787281250813,2738,-770,8864
1629807787301342021,1984,-1272,11726
1629807787321583105,2606,-2096,13336
1629807787340569811,4246,-3468,13336
1629807787360211769,5050,-3712,11102
1629807787379255891,6086,-3398,11120
1629807787398609057,7172,-2536,17174
1629807787421145312,7282,-502,18092
1629807787440344268,8198,-454,19552
1629807787459753933,8524,-2882,25972
1629807787478893181,8034,-3342,32767
1629807787498159263,4882,-1828,32767
1629807787518181513,1992,48,26330
1629807787537674887,1112,522,26330
1629807787556929093,1190,-768,16924
1629807787576764551,1656,-1214,11372
1629807787596180300,2366,-1538,9222
1629807787615845174,3186,-1712,11340
1629807787637810386,2944,-2454,13886
1629807787656646509,2312,-3588,15020
1629807787675764215,2496,-4000,12686
1629807787696166716,3336,-3364,8176
1629807787715882923,3118,-2198,6574
1629807787735800173,2554,-792,6904
1629807787754988129,2224,8,7940
1629807787774192086,2208,786,9482
1629807787793179000,2668,206,10108
1629807787813106541,3248,-1274,10108
1629807787832319373,3816,-1836,8656
1629807787851671246,4544,-1502,7154
1629807787870662953,5426,-1302,6176
1629807787889770700,6182,-1358,7496
1629807787909497991,6758,-1604,10678
1629807787929006157,7170,-1626,13160
1629807787948139113,7646,-894,13802
1629807787967028152,7880,460,14632
1629807787986199359,8036,1652,16260
1629807788008682114,7384,2198,24120
1629807788029662363,6440,2438,24120
1629807788048753275,6436,1682,25700
1629807788068434355,5994,-30,26224
1629807788088193977,4362,-2016,28216
1629807788107603931,1794,-2558,30452
1629807788126982260,-946,-874,31058
1629807788146362840,-2878,-446,26832
1629807788165852919,-2996,-1526,18470
1629807788185971750,-708,-3796,9628
1629807788206087914,2632,-5788,3944
1629807788225328452,4458,-5682,1136
1629807788245595699,5324,-4612,1934
1629807788265064321,3862,-2418,5306
1629807788285066776,2430,-1452,8404
1629807788304317147,1812,-1042,9708
1629807788323669518,2022,-1138,8920
1629807788343045056,2480,-748,6708
1629807788362519219,2400,378,5014
1629807788382376757,2004,1224,3936
1629807788401564836,2312,1034,3414
1629807788421000874,2910,-220,3884
1629807788440376120,3970,-1404,4708
1629807788459644449,4768,-2128,5782
1629807788479778530,4798,-2428,8320
1629807788499116193,4570,-2910,12272
1629807788518665689,4302,-3184,16834
1629807788537641476,4038,-2832,18822
1629807788557643306,3852,-1632,20186
1629807788576881052,3314,-1380,24424
1629807788596461382,3630,-1808,26912
1629807788618569342,4810,-2710,25358
1629807788637908337,5798,-4706,24150
1629807788657932210,5324,-5930,27524
1629807788677208331,2588,-4066,31236
1629807788697288578,-270,-994,31772
1629807788717667826,-1634,1428,27084
1629807788737065197,-1256,532,18458
1629807788756869569,-294,-138,10936
1629807788776047231,1202,-58,5410
1629807788795247685,2426,142,3310
1629807788814513389,3062,-512,4746
1629807788833846969,3706,-1456,8318
1629807788853953758,3430,-1044,11218
1629807788873328545,2360,28,12372
1629807788893062542,1980,1228,12012
1629807788912188288,2146,1904,10946
1629807788931079408,2450,1990,10276
1629807788950700279,2884,1666,10268
1629807788970234692,3432,1006,9960
1629807788989380646,3894,252,9956
1629807789008608683,4454,-698,10326
1629807789028294178,4864,-1188,10984
1629807789048488631,4964,-1288,11152
1629807789067878166,4644,-594,11542
1629807789087189993,4370,180,12108
1629807789106175403,4122,1034,13520
1629807789126741524,3876,1268,16390
1629807789145955767,3624,994,19622
1629807789165011510,3614,312,21456
1629807789184356712,3746,-936,23704
1629807789204821999,3484,-1328,26908
1629807789227851125,2048,-1978,29224
1629807789254452257,178,-1510,25676
1629807789273801667,-738,-178,18464
1629807789293224286,-740,-262,10336
1629807789313294489,892,-1284,4062
1629807789332720441,3474,-2028,1340
1629807789351966393,4426,-788,1886
1629807789371623762,5300,-548,5746
1629807789390671922,6246,-1402,10648
1629807789410595833,5136,-1560,13184
1629807789430089827,3580,-1008,13544
1629807789449347320,2700,800,12032
1629807789468575939,2412,1896,10984
1629807789487785807,2114,2860,10982
1629807789507872177,1970,2858,11654
1629807789527050170,2242,2142,11966
1629807789547461291,2720,1418,11238
1629807789566485617,3084,934,9988
1629807789585802277,3536,666,9270
1629807789605638772,4052,182,9452
1629807789624713848,4728,-374,10588
1629807789644616093,5120,-1410,12940
1629807789664892880,5290,-2384,16152
1629807789684324249,4926,-2796,19054
1629807789705219370,4148,-2310,19368
1629807789724922156,4112,-1848,16498
1629807789744132816,5372,-2962,16842
1629807789763458435,6360,-4912,21420
1629807789782860470,5156,-4944,27222
1629807789802869215,1908,-2462,30808
1629807789824577546,-1152,1278,28498
1629807789843878290,-2354,3570,20808
1629807789862936449,-1356,2374,13242
1629807789882861277,-132,176,7218
1629807789902751189,1852,-1264,4340
1629807789922119766,3492,-1494,4674
1629807789941597093,4070,-1146,8026
1629807789961025295,3818,-1160,11018
1629807789980782206,3492,-1220,12506
1629807790000270825,3706,-1640,12340
1629807790019403858,3768,-1584,11722
1629807790038449516,3318,-748,11574
1629807790057728007,2768,318,12244
1629807790077342124,2360,864,12828
1629807790096506115,2580,472,12340
1629807790115758981,3090,-202,12340
1629807790134766556,3590,-488,11106
1629807790154170214,3822,-716,10126
1629807790174240831,3856,-350,10426
1629807790194511574,3774,222,10754
1629807790214608150,3808,518,10868
1629807790234064725,4146,150,12010
1629807790253766551,4962,-484,15698
1629807790273960418,5310,-904,20802
1629807790293451243,4836,-852,24180
1629807790313274319,3712,-2286,27748
1629807790333399062,2822,-3628,31368
1629807790352915220,1412,-3464,32767
1629807790372143545,-714,-1518,32116
1629807790391586870,-2452,1496,25138
1629807790412123905,-3196,1458,15890
1629807790432606773,-1996,6,8560
1629807790452536349,556,-1746,4498
1629807790472072257,3172,-2754,3280
1629807790491316082,4554,-2254,4234
1629807790511217949,4090,-718,6774
1629807790530455357,2684,640,8950
1629807790550021390,1484,1626,9718
1629807790569313298,970,2390,9794
1629807790588538165,788,3082,10026
1629807790607569780,656,3166,10200
1629807790626768272,730,2890,11052
1629807790646560180,1276,2232,11052
