T,X,Y,Z
1630768385479154492,2286,514,14280
1630768385591149235,2172,656,14382
1630768385610104790,2186,624,14572
1630768385629014719,2274,544,14290
1630768385647780107,2366,400,14266
1630768385666858495,2360,292,14630
1630768385686447925,2356,234,14748
1630768385705814480,2468,328,14390
1630768385725243160,2322,444,14430
1630768385744745965,2184,480,14590
1630768385763813145,2228,400,14264
1630768385783725783,2094,510,14314
1630768385803641630,2094,464,14270
1630768385823291894,1938,280,14920
1630768385842240073,2210,664,13734
1630768385861338294,2096,524,13126
1630768385880786558,2342,-46,14326
1630768385900801530,2650,14,13170
1630768385920244210,2994,114,12984
1630768385939551556,2864,-680,15356
1630768385959324986,2446,-702,17138
1630768385978437624,822,-1112,15454
1630768385998460221,1674,-680,13696
1630768386017675568,1824,-916,12794
1630768386039127291,2742,-1162,12686
1630768386059115721,2974,-1460,13108
1630768386078480234,3168,-2054,13054
1630768386097490872,3928,-94,12982
1630768386116436885,448,-460,13440
1630768386135596107,798,-1314,13740
1630768386155211328,1996,-1958,13934
1630768386174338133,2522,-3156,14840
1630768386193706771,3150,-5200,17032
1630768386213008534,4158,-5200,14508
1630768386232259547,3200,-2968,12522
1630768386252464020,3044,-2968,13942
1630768386271812199,3382,-3536,15354
1630768386291218921,3902,-4452,15528
1630768386310430392,2580,-3404,13364
1630768386329648239,3066,-3442,13414
1630768386349503752,3260,-3642,13476
1630768386369789350,3146,-3622,14238
1630768386389244738,2970,-3742,15154
1630768386409037251,2298,-3342,12814
1630768386428731890,-204,-1498,12530
1630768386448234820,1530,-1178,14136
1630768386467561208,1874,-1638,14844
1630768386487463221,1788,-3912,15310
1630768386507590277,2868,-6704,17828
1630768386528122124,3714,-7288,17292
1630768386547134971,4084,-6058,13812
1630768386567067651,4354,-6318,9018
1630768386586631247,2616,-5464,8862
1630768386605625302,2118,-5632,13660
1630768386625860483,2680,-6184,17544
1630768386647840039,4144,-6060,16738
1630768386667209594,4610,-4044,13190
1630768386686430482,4106,-2998,11984
1630768386707884497,4678,-3128,12048
1630768386727700302,5402,-4960,14600
1630768386747177774,6304,-4330,16210
1630768386767767871,5628,-2822,14136
1630768386787977510,4302,-3534,12444
1630768386807825107,5060,-4212,11954
1630768386830357539,4692,-3870,11974
1630768386850108635,4640,-2834,13484
1630768386871170316,5234,-3650,14746
1630768386891763581,4934,-4266,13562
1630768386911785011,5002,-3112,12668
1630768386931674608,4870,-2936,12730
1630768386951189163,4316,-2396,12348
1630768386972012094,4934,-2694,12514
1630768386993475650,4980,-2402,13528
1630768387013993039,5112,-3286,14276
1630768387033677636,5118,-3678,13898
1630768387055577484,5230,-3750,12990
1630768387078348374,5058,-3700,12508
1630768387101166307,4880,-1904,13616
1630768387123595780,4896,-2484,15132
1630768387146062962,5062,-2946,13512
1630768387168676853,4834,-2552,13004
1630768387205582961,4650,-2708,13770
1630768387255023120,4408,-2294,13080
1630768387298385066,4332,-3396,13386
1630768387334516716,4432,-3542,14466
1630768387364456153,4090,-3462,13818
1630768387388220377,3822,-3380,13744
1630768387410920768,3844,-3200,14634
1630768387435097659,4200,-3838,14440
1630768387454030172,4102,-4390,13588
1630768387473060560,3750,-3934,13128
1630768387491940448,3598,-3788,12908
1630768387511258295,3720,-3988,13678
1630768387530455141,3994,-4260,13678
1630768387549272529,4172,-4732,14132
1630768387568114458,3922,-4900,13742
1630768387587408805,3516,-4432,13118
1630768387606333609,3310,-4492,13166
1630768387625623789,3532,-4508,13472
1630768387644282719,3502,-4646,13316
1630768387663246023,3288,-4988,13158
1630768387682349078,3410,-5264,13556
1630768387701348882,3340,-5690,14284
1630768387720222229,3076,-5662,13944
1630768387739086200,3142,-5182,13906
1630768387757981296,3174,-4742,14278
1630768387776735101,3056,-4876,14356
1630768387795375988,3056,-5064,13930
1630768387814199001,2922,-5040,13490
1630768387833001472,2766,-4924,13198
1630768387851750277,2574,-5208,13742
1630768387870600623,2712,-5530,14096
1630768387890432511,2778,-5406,13596
1630768387909658316,2762,-5406,12956
1630768387928615746,2548,-5724,12534
1630768387947717967,2542,-5630,12618
1630768387966274855,2604,-5466,12954
1630768387985071284,2504,-5952,13398
1630768388004893173,2384,-6292,13772
1630768388024865728,2450,-6206,13534
1630768388044531533,2474,-5780,13228
1630768388063419588,2282,-5630,13302
1630768388082299517,2242,-5522,13302
1630768388101163447,2538,-5742,13826
1630768388120076501,2478,-5912,13710
1630768388138784264,2380,-5756,13252
1630768388157604985,2418,-5696,13214
1630768388176273540,2458,-5802,13460
1630768388195016594,2342,-5770,13464
1630768388214213732,2404,-6056,13696
1630768388233210328,2388,-5806,13528
1630768388251812674,2310,-5884,13222
1630768388271225396,2052,-6370,12728
1630768388289934909,2132,-6518,12904
1630768388308493005,2132,-6232,13180
1630768388327413726,2374,-6048,13374
1630768388346370697,2264,-6122,12796
1630768388365410960,1552,-6104,12476
1630768388384364681,1546,-6396,13100
1630768388403671028,2070,-5752,13664
1630768388422246082,1532,-5752,13370
1630768388441093387,1722,-6140,13408
1630768388460104691,1560,-6530,13112
1630768388478926579,1002,-6678,12618
1630768388497900759,1458,-6246,13204
1630768388517277689,1412,-6050,13508
1630768388536215535,1184,-6546,13508
1630768388555122756,1166,-6360,12912
1630768388574204102,1534,-5922,13074
1630768388592847948,1600,-6006,13498
1630768388611590336,1556,-6236,13588
1630768388630139432,1396,-6124,13430
1630768388648989737,1342,-6356,13698
1630768388667796333,1364,-6690,13796
1630768388686583054,1502,-6440,13736
1630768388705259817,1644,-6056,13440
1630768388724050621,1656,-6666,13360
1630768388742642676,1656,-6652,13038
1630768388761322188,1334,-6512,12898
1630768388779923701,1436,-7004,13398
1630768388803830092,1638,-7178,13550
1630768388836828073,1620,-6974,12508
1630768388869270804,1558,-7642,12738
1630768388901943367,1438,-9182,12390
1630768388934748556,1796,-7280,11350
1630768388968502746,2646,-9742,9882
1630768389001100935,1750,-9314,11758
1630768389036182292,2188,-7432,10204
1630768389069601065,1302,-8214,10680
1630768389103285505,594,-7680,10442
1630768389136604361,-1254,-8108,13604
1630768389170008800,-3038,-3558,14528
1630768389202915989,-2578,-4668,12884
1630768389235680678,-1598,-6808,17998
1630768389269136159,-1900,-4658,12536
1630768389302023890,-732,-2178,6338
1630768389334905996,964,-1594,10598
1630768389367575060,814,-3884,15180
1630768389401505833,418,-4588,15246
1630768389437854316,-1704,248,11686
1630768389473851840,-4088,2938,11388
1630768389507810364,-2626,-3116,17032
1630768389542386554,-954,-5256,13590
1630768389577385994,-3848,-4584,14368
1630768389611808184,-4228,-4212,10884
1630768389646048083,-2276,-8010,10456
1630768389680913773,-1040,-8842,11128
1630768389714685671,-1898,-10006,11358
1630768389748200402,-2586,-11572,13362
1630768389782291217,-2944,-10018,12060
1630768389815251031,-2942,-8604,11178
1630768389849593972,-1986,-9526,11838
1630768389883126203,-2572,-8044,12024
1630768389916462392,-4034,-7756,13276
1630768389949999457,-2266,-9306,11492
1630768389983571188,-3192,-8724,11966
1630768390016820335,-4132,-7488,15448
1630768390051056859,-3270,-8322,13494
1630768390084956424,-2264,-7606,11176
1630768390118170904,-2158,-7696,11578
1630768390151742927,-1856,-9230,11576
1630768390185778909,-2110,-10014,11542
1630768390218666348,-2132,-9480,9904
1630768390251662370,-2612,-9816,10806
1630768390285115477,-4238,-11248,11674
1630768390318993041,-5488,-12096,11538
1630768390352760731,-5522,-12218,7768
1630768390386635671,-2046,-12590,10230
1630768390420637069,-5960,-11462,11538
1630768390455588384,-4158,-10082,10092
1630768390489432991,-520,-8700,7378
1630768390523508014,-3694,-6162,10002
1630768390557598954,-4558,-6114,13794
1630768390592239019,-3416,-10030,11430
1630768390627599876,-3368,-10626,7788
1630768390662061025,-1682,-13320,6200
1630768390697388257,-4568,-12212,16208
1630768390731607906,-4836,-9756,15208
1630768390766784013,-4760,-10150,4334
1630768390802187370,-1820,-12188,9868
1630768390838034312,-2904,-10668,7732
1630768390871815543,-4136,-7098,5664
1630768390907364150,-2118,-9038,6108
1630768390941545090,-1196,-7070,7122
1630768390978146990,-4024,-5576,7140
1630768391012237472,-4450,-3474,9876
1630768391047947163,-1138,-11176,5112
1630768391082434978,-2186,-14312,-1140
1630768391115640251,-10044,-14046,5296
1630768391150242357,-9016,-20688,9404
1630768391184500881,-9276,-13812,2530
1630768391218806863,-12478,-18084,3666
1630768391252991677,-14050,-20884,5484
1630768391288278535,-12144,-18568,-446
1630768391322506100,-8950,-18678,-30
1630768391356697748,-6404,-21108,3242
1630768391392029480,-10212,-18970,1536
1630768391425196336,-4160,-16746,-42
1630768391462655945,-3816,-24394,2638
1630768391495606593,-6584,-23778,9334
1630768391528890990,-5838,-22220,-6136
1630768391562178596,-9678,-18434,-460
1630768391595409244,-11762,-14424,7310
1630768391628456225,-5652,-11290,7362
1630768391661333414,-300,-19888,3308
1630768391694856853,4584,-18082,-4576
1630768391729616460,-6834,-19612,10722
1630768391762794525,-7090,-14900,-7720
1630768391795627214,-10026,-5036,-7988
1630768391828408194,-16392,-7852,-6182
1630768391861480675,-10294,-9690,1274
1630768391894955448,-15572,-7426,1342
1630768391927952220,-12964,-14004,-5206
1630768391961682577,-4520,-14846,-4226
1630768391995533183,-3714,-9568,-3676
1630768392029057164,84,-12896,-1972
1630768392063571729,6554,-13976,-6236
1630768392098866503,6120,-16172,-10986
1630768392132257568,6190,-21106,-9936
1630768392165941382,-1260,-22882,-4200
1630768392201864032,-5320,-21430,-8584
1630768392236832431,-8602,-10798,-6298
1630768392270073078,-15122,-6696,-6556
1630768392307992229,-15164,-13042,-4514
1630768392343908920,-11978,-7892,-974
1630768392379386653,-14112,-6752,-5776
1630768392415467469,-11782,-24998,-7642
1630768392450650618,-8054,-21780,-5098
1630768392486936226,-6520,-17872,-15434
1630768392524269585,-6914,-7798,-6888
1630768392558858025,-8208,-4210,2760
1630768392592782965,-7936,-3548,-3802
1630768392626931113,-8034,-6174,-11216
1630768392659769135,-5970,-6114,-5574
1630768392694133992,-7526,-3544,-192
1630768392728776766,-13562,-3152,-5528
1630768392761512038,-14482,-32054,-9252
1630768392794898436,-32768,-32768,-7498
1630768392827694333,-12996,-11756,-19526
1630768392861789565,-26516,1090,-11724
1630768392895429129,-19496,2196,6866
1630768392929633277,-21860,4042,-16144
1630768392962788675,-16924,-1584,-13742
1630768392995814073,-13900,-8352,-1978
1630768393028519845,-7740,-6480,-3626
1630768393061354659,-5532,-834,-2988
1630768393094170181,-3034,1454,-2472
1630768393127053995,-9036,1018,-3296
1630768393159894976,-14488,3420,-6096
1630768393192770873,-20072,4550,-13446
1630768393225900312,-3656,5326,-22912
1630768393258791835,-9364,11660,-18678
1630768393292795275,-12798,12390,-14838
1630768393326031797,-9964,6090,-13204
1630768393360023820,-7344,14334,-9044
1630768393396058845,-23490,11620,26708
1630768393428904492,-27370,-2114,12312
1630768393467395602,-25306,12744,-18922
1630768393501004833,-27064,11722,-2436
1630768393535009273,-22818,5388,-5324
1630768393568683629,-20202,7298,-8858
1630768393601840568,-15408,8166,-5566
1630768393634877424,-8590,7394,-3342
1630768393667546946,-9012,6200,-5178
1630768393700240927,-7262,6014,-4410
1630768393732740657,-9682,3696,-5076
1630768393765614763,-12660,3108,-6886
1630768393799169828,-16018,4150,-8812
1630768393831696058,-17428,3566,-8336
1630768393864866414,-19628,290,-10444
1630768393897933395,-17912,-3896,-11340
1630768393930907042,-24920,1474,-7356
1630768393963334023,-24536,6106,-46
1630768393996064087,-27702,10242,-2088
1630768394029355901,-26874,17026,-5236
1630768394062022882,-21288,11172,-7940
1630768394094984196,-14148,7318,-4184
1630768394127813468,-12508,5524,-820
1630768394160890157,-9570,698,-3326
1630768394207567481,-4114,5778,-1156
1630768394240053378,-1974,3430,-2336
1630768394274368734,-1118,2954,-4334
1630768394307774757,-6762,3982,-13338
1630768394341249655,-11282,8624,-23618
1630768394374321094,-22766,8856,-16980
1630768394407401408,-18266,5156,-14254
1630768394440821931,-13310,4982,-12356
1630768394473766787,-15346,4994,-7446
1630768394507344851,-32768,15618,3766
1630768394540451207,1480,14234,-7598
1630768394573404063,1648,8072,-1652
1630768394606974169,-22184,7236,-2204
1630768394640041608,-19072,2808,-6862
1630768394674369173,-15984,5886,-5984
1630768394707564821,-12246,4864,-7322
1630768394741548219,-7408,262,-6800
1630768394774919575,-8470,2042,-1580
1630768394807926264,-12926,6630,-458
1630768394841068745,-14786,9150,-4946
1630768394874215059,-14626,7050,-10730
1630768394908011916,-19730,4118,-6536
1630768394943155440,-20710,2072,-8572
1630768394976572546,-23814,672,-8220
1630768395009733110,-20624,5162,-9348
1630768395043144591,-19124,8950,-178
1630768395075811196,-23360,14730,-8948
1630768395108878386,-24450,8946,-9464
1630768395141603991,-19214,3600,-3610
1630768395174586972,-12156,8782,-2518
1630768395207830536,-8950,2826,-88
1630768395240796725,-5676,1590,346
1630768395274399832,-3750,5124,-3402
1630768395307837021,-2520,4742,-4548
1630768395341011919,-7502,6444,-10776
1630768395374215025,-13862,6966,-15072
1630768395407075255,-18308,10248,-13638
1630768395440748611,-24016,4396,-15072
1630768395477090345,-13606,-398,-17890
1630768395510299575,-14288,1500,548
1630768395543953723,-28136,23556,8682
1630768395577969371,-9074,7946,-5008
1630768395612837020,-7778,5284,6182
1630768395648613336,-26920,7030,-3982
1630768395682046026,-29130,280,-11086
1630768395715943799,-11218,1632,-5738
1630768395750191947,-7672,410,-2716
1630768395782895011,-7630,5880,-954
1630768395817736243,-7366,13178,-3816
1630768395851536433,-9694,13458,-2970
1630768395884719039,-19356,4122,-4924
1630768395917580394,-21390,4320,-10954
1630768395951107167,-21058,2440,-8216
1630768395984780398,-24456,1550,-10764
1630768396018586463,-25818,3640,-11608
1630768396051693944,-18182,13200,598
1630768396085268383,-20256,11380,-4954
1630768396118598489,-22156,10052,-7018
1630768396151356512,-20096,7356,-4086
1630768396185046743,-15050,3080,-3698
1630768396218129474,-11656,3480,-1664
1630768396251714372,-9110,2394,-2284
1630768396284146977,-4760,3954,-2380
1630768396317384500,-5230,4726,-4060
1630768396350634355,-4120,222,-8734
1630768396383910003,-1996,526,-7476
1630768396417730984,-14302,13964,-17062
1630768396450668590,-22554,6930,-18766
1630768396483078571,-22634,6008,-15592
1630768396516128468,-13146,4472,-5304
1630768396549532616,-31154,12874,7738
1630768396582656013,-12508,15696,-11370
1630768396615526327,-10216,8500,4814
1630768396649142934,-18838,8856,-5608
1630768396682232039,-18130,2636,-5816
1630768396715297520,-17042,1712,-6714
1630768396748786585,-12786,2616,-6486
1630768396781697232,-8030,4338,-6412
1630768396814704713,-2916,500,-2458
1630768396847673235,-11842,5160,-1552
1630768396880637049,-17206,14818,-5086
1630768396913523113,-14986,11764,-11556
1630768396946751886,-21108,7128,-9552
1630768396979712492,-27820,-3586,-6206
1630768397012574472,-25480,-6560,-14072
1630768397045286828,-22296,7032,-8996
1630768397078245892,-16974,10940,2928
1630768397111498081,-20392,11336,-10126
1630768397144872812,-21114,11962,-7436
1630768397177810710,-18176,6246,-5640
1630768397210934441,-12550,5420,-3006
1630768397244240880,-8300,5734,-4064
1630768397277464236,-6708,6116,-3972
1630768397311452426,-6156,6360,-4732
1630768397344267448,-3046,3060,-6230
1630768397377751387,-4586,2582,-11172
1630768397410777493,-9662,3312,-17108
1630768397445272267,-21526,9748,-12842
1630768397481459125,-22206,11588,-13876
1630768397514780939,-11526,2998,-21936
1630768397548022962,-30666,12622,22820
1630768397580960151,-9082,17324,-17282
1630768397614248423,3844,8454,2166
1630768397647387071,-8772,7636,6718
1630768397680952344,-27090,6448,-5442
1630768397714209741,-27224,-310,-9940
1630768397746747722,-14336,-392,-3784
1630768397779915203,-5872,-468,-5720
1630768397813162517,-6808,8300,-5716
1630768397846384373,-9948,8070,-1600
1630768397879775729,-18596,8464,-10254
1630768397913231293,-21524,1090,716
1630768397946772941,-21546,4820,-11430
1630768397981036173,-19034,5346,-8508
1630768398014080112,-22048,4192,-9050
1630768398046866009,-20752,3210,-8960
1630768398080078990,-20774,6162,4270
1630768398113656263,-25170,14846,-48
1630768398146841952,-28616,14348,-4268
1630768398179355599,-20470,10478,-2726
1630768398212160455,-14144,5728,-3380
1630768398244610727,-11076,-2384,-628
1630768398277522749,-6600,-336,-1224
1630768398310245730,-3100,5192,728
1630768398343313669,-1108,-3948,3910
1630768398376779608,-7574,-4024,-3352
1630768398410048089,-17252,-3234,-31160
1630768398443462945,-24430,558,-31632
1630768398477195260,-23800,-6330,-9382
1630768398510299324,-11082,-2518,-9730
1630768398543695555,-10376,1840,-5474
1630768398577378537,-30160,3576,2244
1630768398610283684,-10714,4870,6588
1630768398643320915,-17208,5924,6134
1630768398676684187,-29084,-16608,2924
1630768398709416251,-21930,-17008,-6522
1630768398743398608,-8652,-11074,-9236
1630768398777697298,-4246,-4690,-7006
1630768398810643153,-4698,1644,-2000
1630768398844789010,-11430,-2520,-3502
1630768398878007866,-14818,-9538,-2372
1630768398910982138,-19382,44,-7552
1630768398944246619,-21826,990,-5786
1630768398977531600,-20768,-2578,-4188
1630768399010709248,-20512,-13488,-12784
1630768399043283645,-16312,-18064,-4430
1630768399076621584,-17902,-13814,1804
1630768399110002399,-18242,-27144,-532
