T,X,Y,Z
1629821441165626011,4428,-1098,14650
1629821441261937449,4758,-1446,13292
1629821441283062959,4638,-1084,12838
1629821441302235488,4666,-814,12838
1629821441321444104,4910,-1322,13066
1629821441341261070,4672,-728,13692
1629821441361159586,3852,-608,15838
1629821441381201616,3268,-632,14630
1629821441401178432,4170,-1528,12592
1629821441420618237,4940,-1260,9976
1629821441439876441,5050,-1218,8984
1629821441460026273,3752,422,14536
1629821441479768524,4730,1130,16170
1629821441500304893,3002,186,12832
1629821441519421500,2838,-3936,11316
1629821441539852485,3688,-5168,16974
1629821441560069240,4596,162,5780
1629821441581363725,7756,-88,17892
1629821441601623860,3402,1050,13238
1629821441621024911,2108,-862,12454
1629821441640423795,4282,-3186,15378
1629821441660209883,5212,-1894,17318
1629821441679785660,5308,-2674,16522
1629821441699130289,4840,-2754,15792
1629821441720960742,3980,-1068,14430
1629821441740963185,3268,-614,15594
1629821441760271019,3510,-246,16820
1629821441780064983,4028,1232,16020
1629821441799101374,4384,470,13110
1629821441818261485,5006,470,14498
1629821441838246676,4572,-1956,15322
1629821441857878791,4274,-2948,14656
1629821441877362142,4386,-2948,15536
1629821441896390532,4018,-1390,13102
1629821441915370667,1924,784,11558
1629821441935065372,3140,-142,13438
1629821441954314200,5560,-818,14686
1629821441974506953,5776,-1976,14020
1629821441994174196,5218,-2954,12484
1629821442013630834,4842,-2638,14722
1629821442034089734,4828,-2194,14344
1629821442053927573,3586,-956,13762
1629821442073331996,3278,-558,13704
1629821442093138249,4300,-1162,13960
1629821442113279243,5166,-2476,14178
1629821442133202341,4618,-2476,13624
1629821442152366282,2596,-248,14638
1629821442171650984,3268,-902,16076
1629821442191481365,4254,-2842,12688
1629821442211304786,5056,-1706,13190
1629821442235360701,4494,-1564,14364
1629821442258022023,4012,-1514,14920
1629821442280110039,3786,-1112,15988
1629821442301880024,3898,-2242,14508
1629821442325254331,3908,-2242,13846
1629821442352149397,3128,-2194,13890
1629821442376202811,3332,-1522,12808
1629821442416598227,3574,-1496,13364
1629821442447158897,2908,-1862,14662
1629821442472955440,2162,-2666,14178
1629821442503770635,2156,-5554,15454
1629821442539309163,-434,-7002,7082
1629821442572608891,-676,-9248,-5256
1629821442592925276,2334,-8824,-2936
1629821442611537414,4182,-5596,1228
1629821442630417369,2614,-2710,9144
1629821442649436212,2614,-1730,8664
1629821442669375812,1976,-3250,3664
1629821442689639901,1322,-4696,6522
1629821442710297820,5178,-18694,19190
1629821442729699409,-2168,-10808,8342
1629821442748478563,-2902,-8692,-922
1629821442767619793,-2902,-8116,3360
1629821442787143310,-3980,-8666,21232
1629821442806656577,-12166,-10994,13494
1629821442825415478,-14982,-10426,3994
1629821442844039534,-4342,-9048,4112
1629821442863230602,-2938,-13096,8108
1629821442882159312,-10164,-16448,15130
1629821442901177697,-14046,-26148,19414
1629821442920564659,-11272,-26148,16166
1629821442939433655,-7586,-31144,5150
1629821442958124008,-5218,-26208,-1226
1629821442977691613,-3512,-21292,-1392
1629821442996750127,-4362,-18538,6472
1629821443015904398,-3430,-22282,10146
1629821443035042833,-4348,-22698,7612
1629821443053739099,-7162,-20104,3420
1629821443072503831,-7652,-18852,3420
1629821443091545381,-10018,-13532,-4502
1629821443110416707,-11314,-10342,-3150
1629821443129300658,-10892,-11834,4002
1629821443147987258,-13266,-9722,2014
1629821443166586348,-16142,-11150,7992
1629821443185493094,-14810,-15034,8712
1629821443204271535,-13080,-12534,3054
1629821443223165113,-13018,-6436,-1372
1629821443242180036,-12528,-7340,-1814
1629821443260770292,-13992,-3674,-3558
1629821443279370716,-13992,-5008,1882
1629821443298144991,-17994,4052,3466
1629821443316971353,-17358,-10778,6838
1629821443335773630,-10838,-8174,5150
1629821443354429727,-14730,-14182,4214
1629821443373511489,-11742,-8994,2694
1629821443392436153,-12782,-8994,-2788
